board_position,player_white,voc,move_time,elo,n_candidates,ply
r1br4/pp2kp1p/2n1pp2/q7/1b1P4/2N2N2/PPQ1BPPP/R2R2K1,False,0.0,6,2113,5,0
r1br4/pp2kp1p/2nbpp2/q7/3P4/2N2N2/PPQ1BPPP/R2R2K1,True,0.0040000000000000036,3,2083,5,0
r1br4/pp2kp1p/2nbpp2/q7/3PN3/5N2/PPQ1BPPP/R2R2K1,False,0.0030000000000000027,7,2113,5,0
r1br4/ppb1kp1p/2n1pp2/q7/3PN3/5N2/PPQ1BPPP/R2R2K1,True,0.16300000000000003,7,2083,5,0
r1br4/ppb1kp1p/2n1pp2/q7/3P4/5NN1/PPQ1BPPP/R2R2K1,False,0.0,3,2113,5,0
r1br4/ppb1kp2/2n1pp2/q6p/3P4/5NN1/PPQ1BPPP/R2R2K1,True,0.894,15,2083,5,0
r1br4/ppb1kp2/2n1pp2/q6p/3P4/P4NN1/1PQ1BPPP/R2R2K1,False,0.0,27,2113,5,0
r2r4/ppbbkp2/2n1pp2/q6p/3P4/P4NN1/1PQ1BPPP/R2R2K1,True,0.0010000000000000009,19,2083,5,0
r2r4/ppbbkp2/2n1pp2/2q4p/3P4/P4NN1/1P2BPPP/R2R2K1,True,0.0,2,2083,5,0
r2r4/ppbbkp2/2n1pp2/2P4p/8/P4NN1/1P2BPPP/R2R2K1,False,0.0,6,2113,5,0
r2rb3/ppb1kp2/2n1pp2/2P4p/8/P4NN1/1P2BPPP/R2R2K1,True,0.009999999999999998,4,2083,5,0
r2rb3/ppb1kp2/2n1pp2/2P4N/8/P4N2/1P2BPPP/R2R2K1,False,0.0,12,2113,5,0
r2rb3/ppb1kp2/2n1p3/2P2p1N/8/P4N2/1P2BPPP/R2R2K1,True,0.027000000000000003,10,2083,5,0
r2rb3/ppb1kp2/2n1p3/2P2p1N/1P6/P4N2/4BPPP/R2R2K1,False,0.004,1,2113,5,0
r2rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/R2R2K1,True,0.001999999999999995,11,2083,5,0
r2Rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/R5K1,False,0.0,3,2113,5,0
3rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/R5K1,True,0.0,0,2083,5,0
3rb3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/3R2K1,False,0.015,2,2113,5,0
4b3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/4BPPP/3r2K1,True,0.0,2,2083,3,0
4b3/ppb1k3/2n1pp2/2P2p1N/1P6/P4N2/5PPP/3B2K1,False,0.0,0,2113,5,0
8/ppb1k3/2n1pp2/2P2p1b/1P6/P4N2/5PPP/3B2K1,True,0.0,18,2083,5,0
8/ppb1k3/2n1pp2/1PP2p1b/8/P4N2/5PPP/3B2K1,False,0.0,5,2113,5,0
8/ppb1k3/4pp2/1PP1np1b/8/P4N2/5PPP/3B2K1,True,0.0,1,2083,5,0
8/ppb1k3/4pp2/1PP1Np1b/8/P7/5PPP/3B2K1,False,0.0,3,2113,5,0
8/ppb1k3/4pp2/1PP1Np2/8/P7/5PPP/3b2K1,True,0.0,23,2083,5,0
